ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Height,Body mass index,Absenteeism time in hours
11,26,7,3,1,289.0,36.0,13.0,33.0,239554.0,97.0,0,1,2.0,1,0,1.0,172.0,30.0,4.0
3,23,7,4,1,179.0,51.0,18.0,38.0,239554.0,97.0,0,1,0.0,1,0,0.0,170.0,31.0,2.0
7,7,7,5,1,279.0,5.0,14.0,39.0,239554.0,97.0,0,1,2.0,1,1,0.0,168.0,24.0,4.0
11,23,7,5,1,289.0,36.0,13.0,33.0,239554.0,97.0,0,1,2.0,1,0,1.0,172.0,30.0,2.0
3,23,7,6,1,179.0,51.0,18.0,38.0,239554.0,97.0,0,1,0.0,1,0,0.0,170.0,31.0,2.0
10,22,7,6,1,361.0,52.0,3.0,28.0,239554.0,97.0,0,1,1.0,1,0,4.0,172.0,27.0,8.0
20,23,7,6,1,260.0,50.0,11.0,36.0,239554.0,97.0,0,1,4.0,1,0,0.0,168.0,23.0,4.0
14,19,7,2,1,155.0,12.0,14.0,34.0,239554.0,97.0,0,1,2.0,1,0,0.0,196.0,25.0,40.0
1,22,7,2,1,235.0,11.0,14.0,37.0,239554.0,97.0,0,3,1.0,0,0,1.0,172.0,29.0,8.0
20,1,7,2,1,260.0,50.0,11.0,36.0,239554.0,97.0,0,1,4.0,1,0,0.0,168.0,23.0,8.0
20,1,7,3,1,260.0,50.0,11.0,36.0,239554.0,97.0,0,1,4.0,1,0,0.0,168.0,23.0,8.0
20,11,7,4,1,260.0,50.0,11.0,36.0,239554.0,97.0,0,1,4.0,1,0,0.0,168.0,23.0,8.0
3,11,7,4,1,179.0,51.0,18.0,38.0,239554.0,97.0,0,1,0.0,1,0,0.0,170.0,31.0,1.0
3,23,7,4,1,179.0,51.0,18.0,38.0,239554.0,97.0,0,1,0.0,1,0,0.0,170.0,31.0,4.0
24,14,7,6,1,246.0,25.0,16.0,41.0,239554.0,97.0,0,1,0.0,1,0,0.0,170.0,23.0,8.0
3,23,7,6,1,179.0,51.0,18.0,38.0,239554.0,97.0,0,1,0.0,1,0,0.0,170.0,31.0,2.0
3,21,7,2,1,179.0,51.0,18.0,38.0,239554.0,97.0,0,1,0.0,1,0,0.0,170.0,31.0,8.0
6,11,7,5,1,189.0,29.0,13.0,33.0,239554.0,97.0,0,1,2.0,0,0,2.0,167.0,25.0,8.0
33,23,8,4,1,248.0,25.0,14.0,47.0,205917.0,92.0,0,1,2.0,0,0,1.0,165.0,32.0,2.0
18,10,8,4,1,330.0,16.0,4.0,28.0,205917.0,92.0,0,2,0.0,0,0,0.0,182.0,25.0,8.0
3,11,8,2,1,179.0,51.0,18.0,38.0,205917.0,92.0,0,1,0.0,1,0,0.0,170.0,31.0,1.0
10,13,8,2,1,361.0,52.0,3.0,28.0,205917.0,92.0,0,1,1.0,1,0,4.0,172.0,27.0,40.0
20,28,8,6,1,260.0,50.0,11.0,36.0,205917.0,92.0,0,1,4.0,1,0,0.0,168.0,23.0,4.0
11,18,8,2,1,289.0,36.0,13.0,33.0,205917.0,92.0,0,1,2.0,1,0,1.0,172.0,30.0,8.0
10,25,8,2,1,361.0,52.0,3.0,28.0,205917.0,92.0,0,1,1.0,1,0,4.0,172.0,27.0,7.0
11,23,8,3,1,289.0,36.0,13.0,33.0,205917.0,92.0,0,1,2.0,1,0,1.0,172.0,30.0,1.0
30,28,8,4,1,157.0,27.0,6.0,29.0,205917.0,92.0,0,1,0.0,1,1,0.0,185.0,22.0,4.0
11,18,8,4,1,289.0,36.0,13.0,33.0,205917.0,92.0,0,1,2.0,1,0,1.0,172.0,30.0,8.0
3,23,8,6,1,179.0,51.0,18.0,38.0,205917.0,92.0,0,1,0.0,1,0,0.0,170.0,31.0,2.0
3,18,8,2,1,179.0,51.0,18.0,38.0,205917.0,92.0,0,1,0.0,1,0,0.0,170.0,31.0,8.0
2,18,8,5,1,235.0,29.0,12.0,48.0,205917.0,92.0,0,1,1.0,0,1,5.0,163.0,33.0,8.0
1,23,8,5,1,235.0,11.0,14.0,37.0,205917.0,92.0,0,3,1.0,0,0,1.0,172.0,29.0,4.0
2,18,8,2,1,235.0,29.0,12.0,48.0,205917.0,92.0,0,1,1.0,0,1,5.0,163.0,33.0,8.0
3,23,8,2,1,179.0,51.0,18.0,38.0,205917.0,92.0,0,1,0.0,1,0,0.0,170.0,31.0,2.0
10,23,8,2,1,361.0,52.0,3.0,28.0,205917.0,92.0,0,1,1.0,1,0,4.0,172.0,27.0,1.0
11,24,8,3,1,289.0,36.0,13.0,33.0,205917.0,92.0,0,1,2.0,1,0,1.0,172.0,30.0,8.0
19,11,8,5,1,291.0,50.0,12.0,32.0,205917.0,92.0,0,1,0.0,1,0,0.0,169.0,23.0,4.0
2,28,8,6,1,235.0,29.0,12.0,48.0,205917.0,92.0,0,1,1.0,0,1,5.0,163.0,33.0,8.0
